Ti Zr Hf V Nb Ta Mo W Re Ru Al Cr Si surf gsf D
0.125 0.000 0.000 0.472 0.292 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.025 0.674 3.003
0.125 0.000 0.000 0.486 0.278 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.036 0.675 3.017
0.125 0.000 0.000 0.500 0.264 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.039 0.674 3.024
0.125 0.000 0.000 0.514 0.250 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.047 0.672 3.045
0.125 0.000 0.000 0.528 0.236 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.044 0.672 3.044
0.125 0.000 0.000 0.542 0.222 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.044 0.674 3.032
0.125 0.000 0.000 0.556 0.208 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.059 0.679 3.034
0.125 0.000 0.000 0.569 0.194 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.065 0.684 3.018
0.292 0.000 0.000 0.556 0.042 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.034 0.672 3.028
0.292 0.000 0.000 0.569 0.028 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.040 0.674 3.025
0.292 0.000 0.000 0.583 0.014 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.046 0.675 3.031
0.333 0.000 0.000 0.528 0.028 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.020 0.667 3.029
0.333 0.000 0.000 0.542 0.014 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.021 0.669 3.021
0.389 0.000 0.000 0.139 0.361 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.987 0.643 3.093
0.389 0.000 0.000 0.153 0.347 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.987 0.640 3.103
0.389 0.000 0.000 0.167 0.333 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.988 0.642 3.095
0.389 0.000 0.000 0.181 0.319 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.988 0.644 3.086
0.389 0.000 0.000 0.194 0.306 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.988 0.645 3.081
0.389 0.000 0.000 0.208 0.292 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.988 0.645 3.084
0.389 0.000 0.000 0.222 0.278 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.988 0.646 3.077
0.389 0.000 0.000 0.236 0.264 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.991 0.647 3.076
0.389 0.000 0.000 0.250 0.250 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.997 0.648 3.082
0.389 0.000 0.000 0.264 0.236 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.998 0.653 3.062
0.389 0.000 0.000 0.278 0.222 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.999 0.653 3.060
0.389 0.000 0.000 0.292 0.208 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.001 0.655 3.054
0.389 0.000 0.000 0.306 0.194 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.003 0.661 3.030
0.389 0.000 0.000 0.319 0.181 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.003 0.660 3.033
0.431 0.000 0.000 0.125 0.333 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.979 0.606 3.264
0.431 0.000 0.000 0.139 0.319 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.981 0.619 3.200
0.431 0.000 0.000 0.153 0.306 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.981 0.632 3.137
0.431 0.000 0.000 0.167 0.292 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.983 0.633 3.130
0.431 0.000 0.000 0.181 0.278 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.981 0.632 3.134
0.431 0.000 0.000 0.194 0.264 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.981 0.632 3.136
0.431 0.000 0.000 0.208 0.250 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.980 0.636 3.115
0.431 0.000 0.000 0.222 0.236 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.980 0.637 3.107
0.431 0.000 0.000 0.236 0.222 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.980 0.639 3.098
0.431 0.000 0.000 0.250 0.208 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.982 0.640 3.098
0.431 0.000 0.000 0.264 0.194 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.983 0.640 3.101
0.431 0.000 0.000 0.278 0.181 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.986 0.642 3.094
0.431 0.000 0.000 0.292 0.167 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.993 0.647 3.079
0.431 0.000 0.000 0.306 0.153 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.994 0.651 3.065
0.431 0.000 0.000 0.319 0.139 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.994 0.651 3.062
0.431 0.000 0.000 0.333 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.998 0.652 3.062
0.431 0.000 0.000 0.347 0.111 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.997 0.659 3.032
0.431 0.000 0.000 0.361 0.097 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.000 0.661 3.025
0.431 0.000 0.000 0.375 0.083 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.001 0.667 3.001
0.472 0.000 0.000 0.181 0.236 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.966 0.607 3.237
0.472 0.000 0.000 0.194 0.222 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.964 0.606 3.239
0.472 0.000 0.000 0.208 0.208 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.964 0.616 3.188
0.472 0.000 0.000 0.222 0.194 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.964 0.619 3.176
0.472 0.000 0.000 0.236 0.181 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.966 0.621 3.168
0.472 0.000 0.000 0.250 0.167 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.968 0.627 3.139
0.472 0.000 0.000 0.264 0.153 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.968 0.630 3.124
0.472 0.000 0.000 0.278 0.139 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.969 0.631 3.119
0.472 0.000 0.000 0.292 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.971 0.631 3.123
0.472 0.000 0.000 0.306 0.111 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.972 0.631 3.126
0.472 0.000 0.000 0.319 0.097 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.976 0.632 3.127
0.472 0.000 0.000 0.333 0.083 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.973 0.636 3.102
0.472 0.000 0.000 0.347 0.069 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.979 0.638 3.100
0.472 0.000 0.000 0.361 0.056 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.985 0.642 3.094
0.431 0.000 0.000 0.389 0.000 0.069 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.041 0.667 3.061
0.431 0.000 0.000 0.403 0.000 0.056 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.045 0.674 3.033
0.431 0.000 0.000 0.417 0.000 0.042 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.039 0.677 3.014
0.431 0.000 0.000 0.431 0.000 0.028 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.043 0.679 3.007
0.444 0.000 0.000 0.333 0.000 0.111 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.033 0.641 3.170
0.444 0.000 0.000 0.347 0.000 0.097 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.038 0.646 3.157
0.472 0.000 0.000 0.306 0.000 0.111 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.025 0.633 3.201
0.472 0.000 0.000 0.319 0.000 0.097 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.021 0.636 3.176
0.472 0.000 0.000 0.333 0.000 0.083 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.010 0.640 3.142
0.472 0.000 0.000 0.347 0.000 0.069 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.011 0.642 3.133
0.472 0.000 0.000 0.361 0.000 0.056 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.019 0.645 3.131
0.472 0.000 0.000 0.375 0.000 0.042 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.018 0.649 3.109
0.472 0.000 0.000 0.389 0.000 0.028 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.018 0.657 3.070
0.472 0.000 0.000 0.403 0.000 0.014 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.017 0.660 3.057
0.486 0.000 0.000 0.292 0.000 0.111 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.020 0.627 3.221
0.486 0.000 0.000 0.306 0.000 0.097 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.019 0.632 3.194
0.486 0.000 0.000 0.319 0.000 0.083 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.998 0.627 3.186
0.486 0.000 0.000 0.333 0.000 0.069 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.996 0.632 3.161
0.486 0.000 0.000 0.347 0.000 0.056 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.002 0.633 3.161
0.486 0.000 0.000 0.361 0.000 0.042 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.007 0.639 3.138
0.486 0.000 0.000 0.375 0.000 0.028 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.006 0.639 3.141
0.486 0.000 0.000 0.389 0.000 0.014 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.005 0.643 3.120
0.278 0.000 0.000 0.556 0.000 0.000 0.056 0.000 0.000 0.000 0.111 0.000 0.000 2.101 0.682 3.083
0.278 0.000 0.000 0.569 0.000 0.000 0.042 0.000 0.000 0.000 0.111 0.000 0.000 2.091 0.679 3.082
0.278 0.000 0.000 0.583 0.000 0.000 0.028 0.000 0.000 0.000 0.111 0.000 0.000 2.074 0.679 3.054
0.278 0.000 0.000 0.597 0.000 0.000 0.014 0.000 0.000 0.000 0.111 0.000 0.000 2.069 0.677 3.055
0.292 0.000 0.000 0.514 0.000 0.000 0.083 0.000 0.000 0.000 0.111 0.000 0.000 2.100 0.682 3.080
0.292 0.000 0.000 0.528 0.000 0.000 0.069 0.000 0.000 0.000 0.111 0.000 0.000 2.089 0.682 3.063
0.292 0.000 0.000 0.542 0.000 0.000 0.056 0.000 0.000 0.000 0.111 0.000 0.000 2.085 0.681 3.061
0.292 0.000 0.000 0.556 0.000 0.000 0.042 0.000 0.000 0.000 0.111 0.000 0.000 2.084 0.678 3.073
0.292 0.000 0.000 0.569 0.000 0.000 0.028 0.000 0.000 0.000 0.111 0.000 0.000 2.062 0.678 3.043
0.292 0.000 0.000 0.583 0.000 0.000 0.014 0.000 0.000 0.000 0.111 0.000 0.000 2.058 0.676 3.045
0.306 0.000 0.000 0.472 0.000 0.000 0.111 0.000 0.000 0.000 0.111 0.000 0.000 2.101 0.689 3.051
0.194 0.000 0.000 0.556 0.139 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.045 0.678 3.018
0.194 0.000 0.000 0.569 0.125 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.045 0.675 3.031
0.194 0.000 0.000 0.583 0.111 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.052 0.674 3.045
0.194 0.000 0.000 0.597 0.097 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.057 0.674 3.052
0.319 0.000 0.000 0.514 0.056 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.016 0.662 3.045
0.319 0.000 0.000 0.528 0.042 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.021 0.668 3.024
0.319 0.000 0.000 0.542 0.028 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.022 0.669 3.022
0.319 0.000 0.000 0.556 0.014 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.028 0.671 3.020
0.361 0.000 0.000 0.514 0.014 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.011 0.665 3.024
0.319 0.000 0.000 0.181 0.389 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.994 0.664 3.001
0.319 0.000 0.000 0.194 0.375 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.998 0.663 3.013
0.375 0.000 0.000 0.153 0.361 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.988 0.645 3.083
0.375 0.000 0.000 0.167 0.347 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.988 0.644 3.089
0.375 0.000 0.000 0.181 0.333 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.988 0.644 3.088
0.375 0.000 0.000 0.194 0.319 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.988 0.644 3.088
0.375 0.000 0.000 0.208 0.306 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.988 0.647 3.074
0.375 0.000 0.000 0.222 0.292 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.991 0.647 3.078
0.375 0.000 0.000 0.236 0.278 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.995 0.647 3.086
0.375 0.000 0.000 0.250 0.264 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.999 0.653 3.059
0.375 0.000 0.000 0.264 0.250 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.999 0.653 3.061
0.375 0.000 0.000 0.278 0.236 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.001 0.656 3.053
0.375 0.000 0.000 0.292 0.222 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.001 0.661 3.026
0.375 0.000 0.000 0.306 0.208 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.001 0.661 3.027
0.375 0.000 0.000 0.319 0.194 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.003 0.665 3.012
0.417 0.000 0.000 0.333 0.139 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.998 0.660 3.030
0.417 0.000 0.000 0.347 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.999 0.658 3.036
0.417 0.000 0.000 0.361 0.111 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.000 0.665 3.006
0.264 0.000 0.000 0.583 0.000 0.042 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.057 0.677 3.038
0.264 0.000 0.000 0.597 0.000 0.028 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.059 0.678 3.036
0.319 0.000 0.000 0.542 0.000 0.028 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.029 0.671 3.023
0.319 0.000 0.000 0.556 0.000 0.014 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.029 0.670 3.027
0.389 0.000 0.000 0.375 0.000 0.125 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.069 0.678 3.051
0.389 0.000 0.000 0.389 0.000 0.111 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.070 0.677 3.056
0.389 0.000 0.000 0.403 0.000 0.097 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.071 0.681 3.040
0.389 0.000 0.000 0.417 0.000 0.083 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.059 0.685 3.007
0.389 0.000 0.000 0.431 0.000 0.069 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.062 0.685 3.011
0.458 0.000 0.000 0.319 0.000 0.111 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.026 0.634 3.194
0.458 0.000 0.000 0.333 0.000 0.097 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.033 0.642 3.167
0.458 0.000 0.000 0.347 0.000 0.083 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.021 0.644 3.138
0.458 0.000 0.000 0.361 0.000 0.069 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.019 0.645 3.131
0.458 0.000 0.000 0.375 0.000 0.056 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.024 0.649 3.119
0.458 0.000 0.000 0.389 0.000 0.042 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.023 0.659 3.069
0.458 0.000 0.000 0.403 0.000 0.028 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.023 0.659 3.072
0.458 0.000 0.000 0.417 0.000 0.014 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.020 0.666 3.030
0.264 0.000 0.000 0.597 0.000 0.000 0.028 0.000 0.000 0.000 0.111 0.000 0.000 2.081 0.679 3.063
0.278 0.000 0.000 0.542 0.000 0.000 0.069 0.000 0.000 0.000 0.111 0.000 0.000 2.104 0.692 3.040
0.306 0.000 0.000 0.486 0.000 0.000 0.097 0.000 0.000 0.000 0.111 0.000 0.000 2.097 0.679 3.087
0.306 0.000 0.000 0.500 0.000 0.000 0.083 0.000 0.000 0.000 0.111 0.000 0.000 2.087 0.679 3.076
0.306 0.000 0.000 0.514 0.000 0.000 0.069 0.000 0.000 0.000 0.111 0.000 0.000 2.086 0.681 3.062
0.306 0.000 0.000 0.528 0.000 0.000 0.056 0.000 0.000 0.000 0.111 0.000 0.000 2.080 0.680 3.060
0.306 0.000 0.000 0.542 0.000 0.000 0.042 0.000 0.000 0.000 0.111 0.000 0.000 2.077 0.677 3.068
0.306 0.000 0.000 0.556 0.000 0.000 0.028 0.000 0.000 0.000 0.111 0.000 0.000 2.054 0.677 3.035
0.306 0.000 0.000 0.569 0.000 0.000 0.014 0.000 0.000 0.000 0.111 0.000 0.000 2.053 0.676 3.036
0.319 0.000 0.000 0.444 0.000 0.000 0.125 0.000 0.000 0.000 0.111 0.000 0.000 2.098 0.690 3.042
0.319 0.000 0.000 0.458 0.000 0.000 0.111 0.000 0.000 0.000 0.111 0.000 0.000 2.087 0.679 3.072
0.319 0.000 0.000 0.472 0.000 0.000 0.097 0.000 0.000 0.000 0.111 0.000 0.000 2.087 0.677 3.082
0.319 0.000 0.000 0.486 0.000 0.000 0.083 0.000 0.000 0.000 0.111 0.000 0.000 2.082 0.680 3.064
0.319 0.000 0.000 0.500 0.000 0.000 0.069 0.000 0.000 0.000 0.111 0.000 0.000 2.071 0.678 3.053
0.319 0.000 0.000 0.514 0.000 0.000 0.056 0.000 0.000 0.000 0.111 0.000 0.000 2.067 0.678 3.049
0.319 0.000 0.000 0.528 0.000 0.000 0.042 0.000 0.000 0.000 0.111 0.000 0.000 2.064 0.676 3.055
0.319 0.000 0.000 0.542 0.000 0.000 0.028 0.000 0.000 0.000 0.111 0.000 0.000 2.047 0.675 3.031
0.319 0.000 0.000 0.556 0.000 0.000 0.014 0.000 0.000 0.000 0.111 0.000 0.000 2.042 0.674 3.029
0.333 0.000 0.000 0.417 0.000 0.000 0.139 0.000 0.000 0.000 0.111 0.000 0.000 2.100 0.692 3.034
0.333 0.000 0.000 0.431 0.000 0.000 0.125 0.000 0.000 0.000 0.111 0.000 0.000 2.086 0.679 3.070
0.333 0.000 0.000 0.444 0.000 0.000 0.111 0.000 0.000 0.000 0.111 0.000 0.000 2.085 0.678 3.074
0.333 0.000 0.000 0.458 0.000 0.000 0.097 0.000 0.000 0.000 0.111 0.000 0.000 2.080 0.677 3.072
0.333 0.000 0.000 0.472 0.000 0.000 0.083 0.000 0.000 0.000 0.111 0.000 0.000 2.068 0.678 3.049
0.333 0.000 0.000 0.486 0.000 0.000 0.069 0.000 0.000 0.000 0.111 0.000 0.000 2.065 0.677 3.047
0.333 0.000 0.000 0.500 0.000 0.000 0.056 0.000 0.000 0.000 0.111 0.000 0.000 2.061 0.676 3.047
0.333 0.000 0.000 0.528 0.000 0.000 0.028 0.000 0.000 0.000 0.111 0.000 0.000 2.038 0.672 3.031
0.333 0.000 0.000 0.542 0.000 0.000 0.014 0.000 0.000 0.000 0.111 0.000 0.000 2.034 0.673 3.023
0.347 0.000 0.000 0.389 0.000 0.000 0.153 0.000 0.000 0.000 0.111 0.000 0.000 2.099 0.687 3.057
0.347 0.000 0.000 0.403 0.000 0.000 0.139 0.000 0.000 0.000 0.111 0.000 0.000 2.087 0.680 3.070
0.347 0.000 0.000 0.417 0.000 0.000 0.125 0.000 0.000 0.000 0.111 0.000 0.000 2.085 0.679 3.072
0.347 0.000 0.000 0.431 0.000 0.000 0.111 0.000 0.000 0.000 0.111 0.000 0.000 2.079 0.677 3.069
0.347 0.000 0.000 0.444 0.000 0.000 0.097 0.000 0.000 0.000 0.111 0.000 0.000 2.068 0.676 3.059
0.347 0.000 0.000 0.458 0.000 0.000 0.083 0.000 0.000 0.000 0.111 0.000 0.000 2.066 0.678 3.048
0.347 0.000 0.000 0.472 0.000 0.000 0.069 0.000 0.000 0.000 0.111 0.000 0.000 2.062 0.677 3.047
0.347 0.000 0.000 0.486 0.000 0.000 0.056 0.000 0.000 0.000 0.111 0.000 0.000 2.058 0.675 3.048
0.347 0.000 0.000 0.500 0.000 0.000 0.042 0.000 0.000 0.000 0.111 0.000 0.000 2.048 0.672 3.048
0.347 0.000 0.000 0.514 0.000 0.000 0.028 0.000 0.000 0.000 0.111 0.000 0.000 2.030 0.672 3.020
0.347 0.000 0.000 0.528 0.000 0.000 0.014 0.000 0.000 0.000 0.111 0.000 0.000 2.024 0.670 3.022
0.361 0.000 0.000 0.347 0.000 0.000 0.181 0.000 0.000 0.000 0.111 0.000 0.000 2.104 0.694 3.032
0.361 0.000 0.000 0.361 0.000 0.000 0.167 0.000 0.000 0.000 0.111 0.000 0.000 2.100 0.685 3.067
0.361 0.000 0.000 0.375 0.000 0.000 0.153 0.000 0.000 0.000 0.111 0.000 0.000 2.089 0.681 3.066
0.361 0.000 0.000 0.389 0.000 0.000 0.139 0.000 0.000 0.000 0.111 0.000 0.000 2.082 0.679 3.065
0.361 0.000 0.000 0.403 0.000 0.000 0.125 0.000 0.000 0.000 0.111 0.000 0.000 2.078 0.679 3.061
0.361 0.000 0.000 0.417 0.000 0.000 0.111 0.000 0.000 0.000 0.111 0.000 0.000 2.067 0.677 3.054
0.361 0.000 0.000 0.431 0.000 0.000 0.097 0.000 0.000 0.000 0.111 0.000 0.000 2.067 0.675 3.063
0.361 0.000 0.000 0.444 0.000 0.000 0.083 0.000 0.000 0.000 0.111 0.000 0.000 2.061 0.676 3.048
0.361 0.000 0.000 0.458 0.000 0.000 0.069 0.000 0.000 0.000 0.111 0.000 0.000 2.056 0.675 3.044
0.361 0.000 0.000 0.472 0.000 0.000 0.056 0.000 0.000 0.000 0.111 0.000 0.000 2.050 0.673 3.046
0.361 0.000 0.000 0.486 0.000 0.000 0.042 0.000 0.000 0.000 0.111 0.000 0.000 2.043 0.671 3.046
0.361 0.000 0.000 0.500 0.000 0.000 0.028 0.000 0.000 0.000 0.111 0.000 0.000 2.027 0.670 3.026
0.361 0.000 0.000 0.514 0.000 0.000 0.014 0.000 0.000 0.000 0.111 0.000 0.000 2.023 0.668 3.029
0.375 0.000 0.000 0.319 0.000 0.000 0.194 0.000 0.000 0.000 0.111 0.000 0.000 2.100 0.686 3.060
0.375 0.000 0.000 0.333 0.000 0.000 0.181 0.000 0.000 0.000 0.111 0.000 0.000 2.091 0.686 3.048
0.375 0.000 0.000 0.347 0.000 0.000 0.167 0.000 0.000 0.000 0.111 0.000 0.000 2.087 0.681 3.063
0.375 0.000 0.000 0.361 0.000 0.000 0.153 0.000 0.000 0.000 0.111 0.000 0.000 2.082 0.680 3.060
0.375 0.000 0.000 0.375 0.000 0.000 0.139 0.000 0.000 0.000 0.111 0.000 0.000 2.077 0.679 3.057
0.375 0.000 0.000 0.389 0.000 0.000 0.125 0.000 0.000 0.000 0.111 0.000 0.000 2.068 0.678 3.050
0.375 0.000 0.000 0.403 0.000 0.000 0.111 0.000 0.000 0.000 0.111 0.000 0.000 2.066 0.676 3.058
0.375 0.000 0.000 0.417 0.000 0.000 0.097 0.000 0.000 0.000 0.111 0.000 0.000 2.063 0.674 3.059
0.375 0.000 0.000 0.431 0.000 0.000 0.083 0.000 0.000 0.000 0.111 0.000 0.000 2.059 0.675 3.050
0.375 0.000 0.000 0.444 0.000 0.000 0.069 0.000 0.000 0.000 0.111 0.000 0.000 2.050 0.674 3.041
0.375 0.000 0.000 0.458 0.000 0.000 0.056 0.000 0.000 0.000 0.111 0.000 0.000 2.046 0.673 3.042
0.375 0.000 0.000 0.472 0.000 0.000 0.042 0.000 0.000 0.000 0.111 0.000 0.000 2.041 0.667 3.059
0.375 0.000 0.000 0.486 0.000 0.000 0.028 0.000 0.000 0.000 0.111 0.000 0.000 2.024 0.667 3.035
0.375 0.000 0.000 0.500 0.000 0.000 0.014 0.000 0.000 0.000 0.111 0.000 0.000 2.015 0.666 3.024
0.306 0.000 0.014 0.569 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.017 0.671 3.004
0.306 0.000 0.028 0.556 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.017 0.668 3.022
0.306 0.000 0.042 0.542 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.019 0.665 3.036
0.319 0.000 0.014 0.556 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.010 0.669 3.004
0.319 0.000 0.028 0.542 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.010 0.664 3.029
0.319 0.000 0.042 0.528 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.012 0.663 3.034
0.319 0.000 0.056 0.514 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.010 0.664 3.027
0.333 0.000 0.014 0.542 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.010 0.667 3.013
0.333 0.000 0.028 0.528 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.007 0.663 3.027
0.333 0.000 0.042 0.514 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.008 0.663 3.029
0.347 0.000 0.014 0.528 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 1.998 0.666 3.001
0.347 0.000 0.028 0.514 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 1.998 0.663 3.015
0.347 0.000 0.000 0.528 0.000 0.014 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.021 0.667 3.032
0.361 0.000 0.000 0.514 0.000 0.014 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.019 0.665 3.036
0.431 0.000 0.000 0.347 0.000 0.111 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.054 0.653 3.145
0.431 0.000 0.000 0.361 0.000 0.097 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.052 0.661 3.105
