Ti Zr Hf V Nb Ta Mo W Re Ru Al Cr Si surf gsf D
0.111 0.000 0.000 0.514 0.236 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.034 0.671 3.030
0.111 0.000 0.000 0.514 0.250 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.035 0.674 3.018
0.111 0.000 0.000 0.528 0.222 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.045 0.678 3.015
0.111 0.000 0.000 0.528 0.236 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.048 0.676 3.032
0.111 0.000 0.000 0.542 0.208 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.049 0.679 3.017
0.111 0.000 0.000 0.556 0.194 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.049 0.679 3.020
0.111 0.000 0.000 0.556 0.208 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.065 0.683 3.025
0.111 0.000 0.000 0.569 0.181 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.050 0.680 3.017
0.111 0.000 0.000 0.569 0.194 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.059 0.683 3.015
0.111 0.000 0.000 0.583 0.167 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.045 0.680 3.006
0.111 0.000 0.000 0.583 0.181 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.059 0.683 3.015
0.111 0.000 0.000 0.597 0.153 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.055 0.682 3.015
0.125 0.000 0.000 0.431 0.306 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 1.999 0.665 3.004
0.125 0.000 0.000 0.444 0.292 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.002 0.664 3.015
0.125 0.000 0.000 0.444 0.306 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.012 0.669 3.007
0.125 0.000 0.000 0.458 0.278 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.008 0.666 3.015
0.125 0.000 0.000 0.458 0.292 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.016 0.668 3.016
0.125 0.000 0.000 0.472 0.264 0.000 0.000 0.000 0.000 0.000 0.139 0.000 0.000 2.010 0.667 3.012
0.125 0.000 0.000 0.472 0.278 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.023 0.671 3.014
0.139 0.000 0.000 0.458 0.278 0.000 0.000 0.000 0.000 0.000 0.125 0.000 0.000 2.014 0.668 3.015
